sample_id,policy_action,policy_label,policy_lane,decision_reason,selection_group,selection_seed,swap_model,tier,identity_delta,original_video_name,in_cropped_bucket,in_frames_bucket,in_teams_pair_complete
visomaster_CSCS_00016,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.027200,trimmed_cropped_wfMHHJKWJE0.mp4,True,True,False
visomaster_CSCS_00017,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.087500,trimmed_cropped_rXw6zSnJBj4.mp4,True,True,True
visomaster_CSCS_00018,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,STRONG,0.425500,trimmed_cropped_itz0UnIikgs.mp4,True,True,True
visomaster_CSCS_00019,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.139200,trimmed_cropped_HaLL-ZDHQ2A.mp4,True,True,True
visomaster_CSCS_00020,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.113800,trimmed_cropped_i6_k0GPPO1c.mp4,True,True,True
visomaster_CSCS_00021,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.237900,trimmed_cropped_KKGgsHwCKlA.mp4,True,True,True
visomaster_CSCS_00022,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,STRONG,0.314800,trimmed_cropped_B73vyNzizM8.mp4,True,True,True
visomaster_CSCS_00023,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.202700,trimmed_cropped_RvkYb-zS38c.mp4,True,True,True
visomaster_CSCS_00024,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.104100,trimmed_cropped_QKVwiNv_Nxg.mp4,True,True,True
visomaster_CSCS_00025,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,STRONG,0.381200,trimmed_cropped_hZBIUKr1GNo.mp4,True,True,True
visomaster_CSCS_00026,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.096600,trimmed_cropped_qAqZ9YRL8Fc.mp4,True,True,True
visomaster_CSCS_00027,ignore,,,cscs_excluded,,,CSCS,STRONG,0.707400,trimmed_cropped_fUKKJfQynEE.mp4,True,True,False
visomaster_CSCS_00028,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.183100,trimmed_cropped_osg5hWljYlE.mp4,True,True,True
visomaster_CSCS_00029,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.133300,trimmed_cropped_1LicIBkIOBs.mp4,True,True,True
visomaster_CSCS_00030,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.165200,trimmed_cropped_WLTw_Uk_IdE.mp4,True,True,True
visomaster_CSCS_00031,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.203000,trimmed_8ZWBqyuAxDw.mp4,True,True,True
visomaster_CSCS_00032,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.245200,trimmed_cropped_9139YOZLSys.mp4,True,True,True
visomaster_CSCS_00033,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.135900,trimmed_cropped_ZSPwG1udOYg.mp4,True,True,True
visomaster_CSCS_00034,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MODERATE,0.211900,trimmed_cropped_XTsHoJVfCXw.mp4,True,True,True
visomaster_CSCS_00035,ignore,,,teams_pair_complete_cscs_excluded,,,CSCS,MINIMAL,0.107200,trimmed_a6RujPPl85s.mp4,True,True,True
visomaster_CSCS_00036,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.104400,trimmed_cropped_4xX74oyPQF0.mp4,True,True,False
visomaster_CSCS_00037,ignore,,,cscs_excluded,,,CSCS,STRONG,0.420600,trimmed_cropped_OHnEWajZF_A.mp4,True,True,False
visomaster_CSCS_00038,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.134800,trimmed_cropped_QgcwZ3NX9Z8.mp4,True,True,False
visomaster_CSCS_00039,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.098600,trimmed_cropped_qMDAJhBhY0Q.mp4,True,True,False
visomaster_CSCS_00040,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.132600,trimmed_cropped_C1QXQzXJJUU.mp4,True,True,False
visomaster_CSCS_00041,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.147900,trimmed_cropped_goreks4apFg.mp4,True,True,False
visomaster_CSCS_00042,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.175400,trimmed_cropped_I13Jh0V2s9A.mp4,True,True,False
visomaster_CSCS_00043,ignore,,,cscs_excluded,,,CSCS,STRONG,0.574200,trimmed_cropped_LDiQIjMxkAU.mp4,True,True,False
visomaster_CSCS_00044,ignore,,,cscs_excluded,,,CSCS,STRONG,0.465300,trimmed_cropped_aRYkFj3B4s4.mp4,True,True,False
visomaster_CSCS_00045,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.183500,trimmed_cropped_U3d2e650zJQ.mp4,True,True,False
visomaster_CSCS_00046,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.124300,trimmed_cropped_0MDxZ2LDANA.mp4,True,True,False
visomaster_CSCS_00047,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.050200,trimmed_cropped_wrO6nB_az1E.mp4,True,True,False
visomaster_CSCS_00048,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.232100,trimmed_cropped_tj8ffmhCpg0.mp4,True,True,False
visomaster_CSCS_00049,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.096400,trimmed_cropped_f-Km2TA_Dyg.mp4,True,True,False
visomaster_CSCS_00050,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.234500,trimmed_cropped_U4XrHw5FZ1g.mp4,True,True,False
visomaster_CSCS_00051,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.079200,trimmed_cropped_C1QXQzXJJUU.mp4,True,True,False
visomaster_CSCS_00052,ignore,,,cscs_excluded,,,CSCS,STRONG,0.400000,trimmed_cropped_iaEKiO9QCSw.mp4,True,True,False
visomaster_CSCS_00053,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.026400,trimmed_cropped_xkfw2NKV6bY.mp4,True,True,False
visomaster_CSCS_00054,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.076200,trimmed_cropped_Ci-dtOFHPhU.mp4,True,True,False
visomaster_CSCS_00055,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.079500,trimmed_cropped_o22pEErv11I.mp4,True,True,False
visomaster_CSCS_00056,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.079400,trimmed_cropped_2tP0nUW8QHM.mp4,True,True,False
visomaster_CSCS_00057,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.190900,trimmed_cropped_03ZmPDnyhvE.mp4,True,True,False
visomaster_CSCS_00058,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.237600,trimmed_cropped_UplNLYorayY.mp4,True,True,False
visomaster_CSCS_00059,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.150300,trimmed_cropped_cKporSxcOAQ.mp4,True,True,False
visomaster_CSCS_00060,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.056000,trimmed_cropped_vuh3kZIlDk8.mp4,True,True,False
visomaster_CSCS_00061,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.092400,trimmed_cropped_33pf80DmjGQ.mp4,True,True,False
visomaster_CSCS_00062,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.131100,trimmed_cropped_lmJplE6Dg2E.mp4,True,True,False
visomaster_CSCS_00063,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.117800,trimmed_cropped_mdBtatj3la0.mp4,True,True,False
visomaster_CSCS_00064,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.132300,trimmed_cropped_ulklNIVhhMc.mp4,True,True,False
visomaster_CSCS_00065,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.064100,trimmed_cropped_Bi1KnKXLcGE.mp4,True,True,False
visomaster_CSCS_00066,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.080600,65oA2iU3qeM.mp4,True,True,False
visomaster_CSCS_00067,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.249000,trimmed_cropped_SmPVZSz69Iw.mp4,True,True,False
visomaster_CSCS_00068,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.183500,trimmed_cropped_4X6sMrdacnU.mp4,True,True,False
visomaster_CSCS_00069,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.121900,trimmed_cropped_e4jXbeeJI-w.mp4,True,True,False
visomaster_CSCS_00070,ignore,,,cscs_excluded,,,CSCS,STRONG,0.470700,trimmed_cropped_JyfkpH6902c.mp4,True,True,False
visomaster_CSCS_00071,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.177500,trimmed_cropped_y84pdovMEyk.mp4,True,True,False
visomaster_CSCS_00072,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.269300,trimmed_cropped_kBPwSfODvZ0.mp4,True,True,False
visomaster_CSCS_00073,ignore,,,cscs_excluded,,,CSCS,STRONG,0.351200,trimmed_cropped_Gmt3DH3NshI.mp4,True,True,False
visomaster_CSCS_00074,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.057900,trimmed_cropped_EztUw-VDnZs.mp4,True,True,False
visomaster_CSCS_00075,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.143600,trimmed_cropped_VHVlu47I8XA.mp4,True,True,False
visomaster_CSCS_00076,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.204100,trimmed_cropped_Wh860Ds08HE.mp4,True,True,False
visomaster_CSCS_00077,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.270900,trimmed_cropped_kqlWNh34N1A.mp4,True,True,False
visomaster_CSCS_00078,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.140200,trimmed_cropped_terjr04_TGw.mp4,True,True,False
visomaster_CSCS_00079,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.037300,trimmed_cropped_WEk2v1GQyG8.mp4,True,True,False
visomaster_CSCS_00080,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.080000,trimmed_cropped_q4U8QVx7nWU.mp4,True,True,False
visomaster_CSCS_00081,ignore,,,cscs_excluded,,,CSCS,STRONG,0.394000,trimmed_cropped_st4XxXB07ng.mp4,True,True,False
visomaster_CSCS_00082,ignore,,,cscs_excluded,,,CSCS,STRONG,0.410500,trimmed_cropped_1g7UzSoPEvs.mp4,True,True,False
visomaster_CSCS_00083,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.074600,trimmed_cropped_jflyjt6gXNY.mp4,True,True,False
visomaster_CSCS_00084,ignore,,,cscs_excluded,,,CSCS,STRONG,0.524200,trimmed_cropped_m3tQAgg44sE.mp4,True,True,False
visomaster_CSCS_00085,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.110800,trimmed_cropped_Fz7yUewFniY.mp4,True,True,False
visomaster_CSCS_00086,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.052000,trimmed_cropped_r7Pu_2SzLyA.mp4,True,True,False
visomaster_CSCS_00087,ignore,,,cscs_excluded,,,CSCS,STRONG,0.442900,trimmed_cropped_SAAAO2J7QNQ.mp4,True,True,False
visomaster_CSCS_00088,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.283000,trimmed_cropped_sjkwFp2amkQ.mp4,True,True,False
visomaster_CSCS_00089,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.165100,trimmed_cropped_XkuPnaAHCUw.mp4,True,True,False
visomaster_CSCS_00090,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.072700,trimmed_cropped_RFnFy2KMj7I.mp4,True,True,False
visomaster_CSCS_00091,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.172700,trimmed_cropped_fx-J7KQo1TA.mp4,True,True,False
visomaster_CSCS_00092,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.246700,trimmed_cropped_kE2c64Rf938.mp4,True,True,False
visomaster_CSCS_00093,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.249700,trimmed_cropped_ixEt4V5Lw3s.mp4,True,True,False
visomaster_CSCS_00094,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.132200,trimmed_cropped_TrmYeIAsWZI.mp4,True,True,False
visomaster_CSCS_00095,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.041900,trimmed_cropped_hEvqj0h6RGY.mp4,True,True,False
visomaster_CSCS_00096,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.094200,trimmed_cropped_AB7ghsrCd1E.mp4,True,True,False
visomaster_CSCS_00097,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.106300,trimmed_cropped_GdBmLsglesM.mp4,True,True,False
visomaster_CSCS_00098,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.074000,trimmed_cropped_0RttyrfstH0.mp4,True,True,False
visomaster_CSCS_00099,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.138000,trimmed_cropped_CTeeNtZ0vcg.mp4,True,True,False
visomaster_CSCS_00100,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.104400,trimmed_cropped_SaoRywmNxhg.mp4,True,True,False
visomaster_CSCS_00101,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.249700,trimmed_cropped_l9ZqXlHl65g.mp4,True,True,False
visomaster_CSCS_00102,ignore,,,cscs_excluded,,,CSCS,STRONG,0.529600,trimmed_cropped_zUN_-L2num0.mp4,True,True,False
visomaster_CSCS_00103,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.286000,trimmed_cropped_uxsJVliymkc.mp4,True,True,False
visomaster_CSCS_00104,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.086000,trimmed_cropped_lky9DikmPLU.mp4,True,True,False
visomaster_CSCS_00105,ignore,,,cscs_excluded,,,CSCS,STRONG,0.606900,trimmed_cropped_CGZf2qO-lWw.mp4,True,True,False
visomaster_CSCS_00106,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.026100,trimmed_cropped_aJXM_1PR0zo.mp4,True,True,False
visomaster_CSCS_00107,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.226300,trimmed_cropped_9wE832NYYco.mp4,True,True,False
visomaster_CSCS_00108,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.082100,trimmed_cropped_Nytr82hMMW0.mp4,True,True,False
visomaster_CSCS_00109,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.121200,trimmed_cropped_OGz6G7VBEKs.mp4,True,True,False
visomaster_CSCS_00110,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.189900,trimmed_cropped_Mvz26zFEpqg.mp4,True,True,False
visomaster_CSCS_00111,ignore,,,cscs_excluded,,,CSCS,STRONG,0.330700,trimmed_cropped_NZvy6nEGTFI.mp4,True,True,False
visomaster_CSCS_00112,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.190300,trimmed_cropped_lwRkhqHhh14.mp4,True,True,False
visomaster_CSCS_00113,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.046900,trimmed_cropped_S9JaejodqZo.mp4,True,True,False
visomaster_CSCS_00114,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.039100,trimmed_cropped_HotdEP45iY4.mp4,True,True,False
visomaster_CSCS_00115,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.099400,trimmed_cropped_oLFeiuDqIKU.mp4,True,True,False
visomaster_CSCS_00116,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.148500,trimmed_cropped_Xcd2baTMuM0.mp4,True,True,False
visomaster_CSCS_00117,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.177600,trimmed_cropped_hhWLhx5gpRQ.mp4,True,True,False
visomaster_CSCS_00118,ignore,,,cscs_excluded,,,CSCS,STRONG,0.526900,trimmed_cropped_OGvkHmDF3vE.mp4,True,True,False
visomaster_CSCS_00119,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.157500,trimmed_cropped_c38-elPbo64.mp4,True,True,False
visomaster_CSCS_00120,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.109300,trimmed_cropped_CSG9GIjd9Ig.mp4,True,True,False
visomaster_CSCS_00121,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.279800,trimmed_cropped_piuIe123Hx8.mp4,True,True,False
visomaster_CSCS_00122,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.143700,trimmed_cropped_iOW2wyUqgRI.mp4,True,True,False
visomaster_CSCS_00123,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.244600,trimmed_cropped_WRtpoKM9LFk.mp4,True,True,False
visomaster_CSCS_00124,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.237800,trimmed_cropped_O9zU6n8GbRA.mp4,True,True,False
visomaster_CSCS_00125,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.060100,trimmed_cropped_OHL7CyKoHPE.mp4,True,True,False
visomaster_CSCS_00126,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.068200,trimmed_cropped_-48hHguMmWA.mp4,True,True,False
visomaster_CSCS_00127,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.059900,trimmed_cropped_0wa8AtTIhdA.mp4,True,True,False
visomaster_CSCS_00128,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.067900,trimmed_cropped_QXqWBozFXTU.mp4,True,True,False
visomaster_CSCS_00129,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.234900,trimmed_cropped_ZCVpr0126dE.mp4,True,True,False
visomaster_CSCS_00130,ignore,,,cscs_excluded,,,CSCS,STRONG,0.897300,trimmed_cropped_EsXyes1kvWU.mp4,True,True,False
visomaster_CSCS_00131,ignore,,,cscs_excluded,,,CSCS,STRONG,0.340200,trimmed_cropped_LR99ntq-YlA.mp4,True,True,False
visomaster_CSCS_00132,ignore,,,cscs_excluded,,,CSCS,STRONG,0.562500,trimmed_cropped_jlqrKkqa_T0.mp4,True,True,False
visomaster_CSCS_00133,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.063800,trimmed_cropped_LoapEjn5DUM.mp4,True,True,False
visomaster_CSCS_00134,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.135100,trimmed_cropped_tM6Ueu_Cax8.mp4,True,True,False
visomaster_CSCS_00135,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.079900,trimmed_cropped_pK_mt5BXmT4.mp4,True,True,False
visomaster_CSCS_00136,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.171400,trimmed_cropped_KTVv9e3NNxM.mp4,True,True,False
visomaster_CSCS_00137,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.087200,trimmed_cropped_4UmHjLqfmwI.mp4,True,True,False
visomaster_CSCS_00138,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.279400,trimmed_cropped_P82-Ik8Bb8c.mp4,True,True,False
visomaster_CSCS_00139,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.081000,trimmed_cropped_-j73m_yQ_hM.mp4,True,True,False
visomaster_CSCS_00140,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.136100,trimmed_cropped_lPFYdMzXOUg.mp4,True,True,False
visomaster_CSCS_00141,ignore,,,cscs_excluded,,,CSCS,STRONG,0.814100,trimmed_cropped_f9JPsX-7WEQ.mp4,True,True,False
visomaster_CSCS_00142,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.120800,trimmed_cropped_goreks4apFg.mp4,True,True,False
visomaster_CSCS_00143,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.172400,trimmed_cropped_h4-LpnLcEME.mp4,True,True,False
visomaster_CSCS_00144,ignore,,,cscs_excluded,,,CSCS,STRONG,0.472600,trimmed_cropped_hDUw3k837RA.mp4,True,True,False
visomaster_CSCS_00145,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.281800,trimmed_cropped_zi4I71SYpDU.mp4,True,True,False
visomaster_CSCS_00146,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.166800,trimmed_cropped_t_5LrfAqDC4.mp4,True,True,False
visomaster_CSCS_00147,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.098800,trimmed_cropped_UJWHfM4oStE.mp4,True,True,False
visomaster_CSCS_00148,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.212600,trimmed_cropped_qh3yIfNhbBs.mp4,True,True,False
visomaster_CSCS_00149,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.115800,trimmed_cropped_iThTLTvskI0.mp4,True,True,False
visomaster_CSCS_00150,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.064100,trimmed_cropped_vpJxcnDrKvw.mp4,True,True,False
visomaster_CSCS_00151,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.067600,trimmed_cropped_iyd5zMJzpzQ.mp4,True,True,False
visomaster_CSCS_00152,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.059600,trimmed_cropped_kifHu7LeVuA.mp4,True,True,False
visomaster_CSCS_00153,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.137200,trimmed_cropped_YcZVtyi9EU0.mp4,True,True,False
visomaster_CSCS_00154,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.167700,trimmed_cropped_aTA2JVDN7M8.mp4,True,True,False
visomaster_CSCS_00155,ignore,,,cscs_excluded,,,CSCS,STRONG,0.714000,trimmed_cropped_uqblPgBWQp8.mp4,True,True,False
visomaster_CSCS_00156,ignore,,,cscs_excluded,,,CSCS,STRONG,0.324700,trimmed_cropped_ZnUj4Z4PloA.mp4,True,True,False
visomaster_CSCS_00157,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.138000,trimmed_cropped_8bZj5qre_oQ.mp4,True,True,False
visomaster_CSCS_00158,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.113700,trimmed_cropped_0GmDytHPA-w.mp4,True,True,False
visomaster_CSCS_00159,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.100000,trimmed_cropped_v8BVzJgcrBI.mp4,True,True,False
visomaster_CSCS_00160,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.073200,trimmed_cropped_Jz6-0u-ClHM.mp4,True,True,False
visomaster_CSCS_00161,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.162200,trimmed_cropped_kZgDGY8nutg.mp4,True,True,False
visomaster_CSCS_00162,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.097700,trimmed_cropped_GmHWoMm1AuQ.mp4,True,True,False
visomaster_CSCS_00163,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.190700,trimmed_cropped_-2Ya3Lf5XSk.mp4,True,True,False
visomaster_CSCS_00164,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.095400,trimmed_cropped_rl_ppsr2WB8.mp4,True,True,False
visomaster_CSCS_00165,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.041500,trimmed_cropped_XNZ1-l_w4fs.mp4,True,True,False
visomaster_CSCS_00166,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.153900,trimmed_cropped_9E93tvfG93c.mp4,True,True,False
visomaster_CSCS_00167,ignore,,,cscs_excluded,,,CSCS,STRONG,0.477400,trimmed_cropped_jvTvWTIRS-U.mp4,True,True,False
visomaster_CSCS_00168,ignore,,,cscs_excluded,,,CSCS,STRONG,0.327200,trimmed_cropped_zGOkywmNZfE.mp4,True,True,False
visomaster_CSCS_00169,ignore,,,cscs_excluded,,,CSCS,MODERATE,0.242400,trimmed_cropped_1vt9RoYBynQ.mp4,True,True,False
visomaster_CSCS_00170,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.095700,trimmed_cropped_2dUAjrwd-8I.mp4,True,True,False
visomaster_CSCS_00171,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.071900,trimmed_cropped_zI8Alz3L9CA.mp4,True,True,False
visomaster_CSCS_00172,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.121300,trimmed_cropped_vxTm3at6xFg.mp4,True,True,False
visomaster_CSCS_00173,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.103000,trimmed_cropped_Az6Uy7p3kas.mp4,True,True,False
visomaster_CSCS_00174,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.015000,trimmed_cropped_jD-vHkiBJng.mp4,True,True,False
visomaster_CSCS_00175,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.082700,trimmed_cropped_0cVOx_CHMNQ.mp4,True,True,False
visomaster_CSCS_00176,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.123500,trimmed_cropped_AXwLaVRxA3s.mp4,True,True,False
visomaster_CSCS_00177,ignore,,,cscs_excluded,,,CSCS,MINIMAL,0.026700,trimmed_cropped_H15lVTJhXn8.mp4,True,True,False
